Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
1/1/2019,495.02,,33.53,20.3,34.27,2.53,52.9
1/2/2019,445.34,,52.38,36.39,31.93,3.75,48.12
1/3/2019,398.66,,27.99,64.27,33.33,2.54,59.61
1/4/2019,384.13,,51.93,43.63,32.42,2.38,56.83
1/5/2019,468.01,,87.89,31.26,37.18,2.21,33.37
1/6/2019,212.67,,25.21,31.37,33.68,1.77,42.76
1/7/2019,216.47,,19.66,26.59,32.27,1.17,27.34
1/8/2019,128.75,,7.01,24.26,33.78,0.36,44.67
1/9/2019,166.53,,7.15,24.86,32.94,1.2,68.73
1/10/2019,261.72,,31.64,20.73,34.88,1.59,71.4
1/11/2019,295.51,,32.81,17.17,28.02,3.09,63.82
1/12/2019,299.55,,55.07,25.02,33.11,2.54,58.47
1/13/2019,295.57,,25.01,15.5,31.78,2.31,56.93
1/14/2019,239.06,,5.33,7.62,30.8,1,87.23
1/15/2019,122.51,,14.46,28.1,31.33,0.85,77.42
1/16/2019,261.46,,26.59,12.12,32.86,2.72,35.98
1/17/2019,345.91,,22.8,7.64,31.79,3.06,26.08
1/18/2019,332.99,,12.51,2.94,30.78,2.33,32.65
1/19/2019,279.45,,15.42,27.78,31.83,2.15,36.24
1/20/2019,372.83,,22.84,9.82,35.94,2.48,47.01
1/21/2019,478.92,,53.46,24.41,29.05,3.29,38.16
1/22/2019,307.47,,48.58,193.19,33.59,1.79,43.42
1/23/2019,163.41,,60.32,128.23,43.21,0.89,38.78
1/24/2019,137.96,,63.2,123.76,46.61,1.32,22.61
1/25/2019,191.02,,49.63,91.24,45.36,1.58,18.57
1/26/2019,173.35,,14.23,33.21,46.35,1.14,15.91
1/27/2019,98.83,,7,27.21,45.75,0.59,33.23
1/28/2019,97.96,,8.2,32.87,43.9,0.83,45.83
1/29/2019,106.37,,5.3,27.86,42.26,0.66,73.04
1/30/2019,144.68,,12.33,27.26,43.49,1.35,75.91
1/31/2019,252.62,,65.31,104.51,44.15,2.2,43.38
2/1/2019,303.54,,84.08,106.83,41.98,2.79,43.76
2/2/2019,222.63,,22.1,39.71,41.8,2.58,46.34
2/3/2019,200.21,,9.14,27.31,41.93,2.02,63.7
2/4/2019,137.58,,11.13,23.62,44.77,1.89,73.98
2/5/2019,152.56,,9.88,23,44.59,1.85,58.73
2/6/2019,193.24,,14.26,16.86,46.21,2.51,75.06
2/7/2019,228.96,,13.95,13.95,44.9,2.3,60.95
2/8/2019,111.88,,7.71,9.79,43.82,1.41,26.6
2/9/2019,96.12,,21.36,56.93,42.2,1.24,36.15
2/10/2019,103.89,,20.74,97.74,42.42,1.25,75.39
2/11/2019,116.96,,21.34,95.6,42.64,1.52,50.34
2/12/2019,142.8,,57.21,117.52,43,1.84,52.21
2/13/2019,164.61,,24.29,89.57,44.59,1.57,58.63
2/14/2019,170.95,,14.62,33.64,42.76,1.5,49.68
2/15/2019,159.16,,14.8,21.08,42.06,1.35,22.82
2/16/2019,83.25,,8.77,16.96,44.19,0.71,36.35
2/17/2019,92.62,,4.1,14,42.09,0.49,35.31
2/18/2019,111,,33.45,67.9,43.99,1.13,65.53
2/19/2019,151.1,,43.96,85.69,49.15,2.43,59.85
2/20/2019,148.4,,15.57,38.84,41.61,1.75,60.03
2/21/2019,151.49,,22.93,35.98,29.76,2.7,55.06
2/22/2019,151.38,,16.07,28.77,29.34,2.15,54.22
2/23/2019,78.65,,6.17,17.45,29.58,0.84,79.27
2/24/2019,67.37,,4.8,17.41,29.96,0.75,115.92
2/25/2019,107.04,,16.59,18.02,29.92,2.13,77.01
2/26/2019,170.89,,33.2,14.12,30.62,1.76,53.76
2/27/2019,75.1,,26.89,44.62,32.33,1.03,71.77
2/28/2019,46.58,,18.93,74.55,36.49,0.9,66.71
3/1/2019,72.67,,24.44,98.28,37.15,1.21,80.9
3/2/2019,127.91,,40.44,113.6,37.21,1.9,62.34
3/3/2019,129.48,,19.3,77.92,37.13,1.44,61.34
3/4/2019,99.49,,9.61,48.76,38.29,1.3,58.17
3/5/2019,97.79,,9.19,24.01,38.58,1.46,61.63
3/6/2019,73.45,,6.82,16.3,36.84,1.15,70.29
3/7/2019,75.72,,5.55,14.43,37.04,1.04,92.02
3/8/2019,88.93,,7.57,13.9,39.08,1.5,73.31
3/9/2019,113.82,,13.43,10.15,37.57,2.09,85.57
3/10/2019,131.9,,12.16,7.07,36.61,1.82,72.8
3/11/2019,100.62,,11.7,30.02,35.64,1.45,78.87
3/12/2019,107.1,,12.06,19.69,39.66,1.86,62.18
3/13/2019,84.41,,6.63,12.51,39.45,1.41,84.56
3/14/2019,78.8,,5.47,8.41,39.41,1.17,91.29
3/15/2019,72.42,,14.81,64.82,39.57,1.25,64.54
3/16/2019,84.14,,20.2,119.65,39.35,1.13,93.57
3/17/2019,71.26,,13.62,107.68,39.65,0.92,105.94
3/18/2019,77.97,,18.67,112.31,39.68,1.13,93.01
3/19/2019,85.59,,16.36,118.56,39.73,1.42,93.78
3/20/2019,87.8,,31.4,118.79,47.87,1.62,51.17
3/21/2019,170.07,,69.75,110.34,39.52,3.82,38.62
3/22/2019,57.13,,3.58,54.28,43.71,1.28,113.36
3/23/2019,38.14,,5.11,49.5,43.75,1.12,142.87
3/24/2019,47.14,,4.51,56.38,41.5,1.29,108.03
3/25/2019,58.73,,19.83,71.45,44.26,2.05,78.13
3/26/2019,60.14,,21.31,41.35,41.4,1.94,53.72
